year_month,num_of_bicycle_rentals(million),
201901,2.423927,2.335
201902,2.3359256,1.929
201903,1.9771624,2.229
201904,2.2221045,2.447
201905,2.198175,2.454
201906,2.350474,2.215
201907,2.5478277,2.544
201908,2.13626,2.425
201909,2.3456964,2.174
201910,2.5433588,2.766
201911,2.5549636,2.582
201912,2.1125493,2.364
202001,2.475021,2.213
202002,2.5073295,2.174
202003,2.0285494,2.361
202004,2.3137224,2.181
202005,2.3122053,2.271
202006,2.228435,2.427
202007,2.1880784,2.616
202008,2.2761188,2.486
202009,2.2056282,2.443
202010,2.49868,2.397
202011,2.5119712,2.483
202012,2.0960908,1.842
202101,2.476314,2.095
202102,2.4661083,2.047
202103,2.4263532,2.8
202104,2.4871051,2.718
202105,2.4100251,1.957
202106,1.877984,1.147
202107,2.1547203,1.578
202108,2.268911,2.07
202109,2.7275472,2.474
202110,2.5298,2.643
202111,3.1412272,2.834
202112,3.1974201,2.816
202201,2.9764395,2.474
202202,2.6117353,1.753
202203,2.71961,3.185
202204,3.0477402,2.885
202205,1.9544921,2.104
